Merge Index,index,Candidate,State,Office,District,Party,Candidate_processed,Last_name,District_processed,State_processed,FEC_index,CAND_NAME,CAND_PTY_AFFILIATION,CAND_ID,Committee_ID_Grabbed
496,497,Steve Chabot,Ohio,Representative,1,GOP,Steve Chabot,CHABOT,1,OH,2134,"CHABOT, STEVE",REP,H8OH01043,
497,498,Brad Wenstrup,Ohio,Representative,2,GOP,Brad Wenstrup,WENSTRUP,2,OH,2140,"WENSTRUP, BRAD DR.",REP,H2OH02085,
498,499,Lee R. Stahley,Ohio,Representative,3,GOP,Lee R. Stahley,STAHLEY,3,OH,NA,NA,NA,H2OH03190,
499,500,Jim Jordan,Ohio,Representative,4,GOP,Jim Jordan,JORDAN,4,OH,2150,"JORDAN, JAMES D.",REP,H6OH04082,
500,501,Bob Latta,Ohio,Representative,5,GOP,Bob Latta,LATTA,5,OH,2153,"LATTA, ROBERT EDWARD",REP,H8OH05036,
501,502,Bill Johnson,Ohio,Representative,6,GOP,Bill Johnson,JOHNSON,6,OH,2155,"JOHNSON, BILL",REP,H0OH06189,
502,503,Max Miller,Ohio,Representative,7,GOP,Max Miller,MILLER,7,OH,2163,"MILLER, MAX",REP,H2OH16051,
503,504,Warren Davidson,Ohio,Representative,8,GOP,Warren Davidson,DAVIDSON,8,OH,2167,"DAVIDSON, WARREN",REP,H6OH08315,
504,505,J.R. Majewski,Ohio,Representative,9,GOP,J.R. Majewski,MAJEWSKI,9,OH,2169,"MAJEWSKI, J R",REP,H2OH09155,
505,506,Mike Turner,Ohio,Representative,10,GOP,Mike Turner,TURNER,10,OH,2176,"TURNER, MICHAEL R REP.",REP,H2OH03067,
506,507,Eric J. Brewer,Ohio,Representative,11,GOP,Eric J. Brewer,BREWER,11,OH,NA,NA,NA,H2OH11326,
507,508,Troy Balderson,Ohio,Representative,12,GOP,Troy Balderson,BALDERSON,12,OH,2194,"BALDERSON, WILLIAM TROY",REP,H8OH12180,
508,509,Madison Gesiotto Gilbert,Ohio,Representative,13,GOP,Madison Gesiotto Gilbert,GILBERT,13,OH,2201,"GILBERT, MADISON GESIOTTO",REP,H2OH09163,
509,510,David P. Joyce,Ohio,Representative,14,GOP,David P. Joyce,JOYCE,14,OH,2212,"JOYCE, DAVID P",REP,H2OH14064,
510,511,Mike Carey,Ohio,Representative,15,GOP,Mike Carey,CAREY,15,OH,2227,"CAREY, MIKE",REP,H2OH15228,
511,512,Jim Myles,Virginia,Representative,11,GOP,Jim Myles,MYLES,11,VA,3011,"MYLES, JAMES",REP,H2VA11255,
512,513,Carol Miller,West Virginia,Representative,1,GOP,Carol Miller,MILLER,1,WV,3135,"MILLER, CAROL DEVINE",REP,H8WV03097,
513,514,Alexander X. Mooney,West Virginia,Representative,2,GOP,Alexander X. Mooney,MOONEY,2,WV,3143,"MOONEY, ALEXANDER XAVIER",REP,H4WV02080,
514,515,Mike Flood,Nebraska,Representative,1,GOP,Mike Flood,FLOOD,1,NE,1718,"FLOOD, MIKE",REP,H2NE01118,
515,516,Don Bacon,Nebraska,Representative,2,GOP,Don Bacon,BACON,2,NE,1724,"BACON, DONALD J",REP,H6NE02125,
516,517,Adrian Smith,Nebraska,Representative,3,GOP,Adrian Smith,SMITH,3,NE,1725,"SMITH, ADRIAN",REP,H6NE03115,
517,518,Rand Paul,Kentucky,Senator,N/A,GOP,Rand Paul,PAUL,0,KY,3490,"PAUL, RAND",REP,S0KY00156,
518,519,James R. Comer,Kentucky,Representative,1,GOP,James R. Comer,COMER,1,KY,1120,"COMER, JAMES",REP,H6KY01110,
519,520,S. Brett Guthrie,Kentucky,Representative,2,GOP,S. Brett Guthrie,GUTHRIE,2,KY,1125,"GUTHRIE, S. BRETT HON.",REP,H8KY02031,
