"","FEC_index","CAND_NAME","CAND_PTY_AFFILIATION","CAND_ID","CAND_OFFICE_ST","CAND_OFFICE_DISTRICT","Last_Name_FEC","CAND_PTY_AFFILIATION_processed"
"2602","2602","BAILEY, KATHLEEN CORDELIA","DEM","H2TX05238","TX","5","BAILEY","DEM"
"2603","2603","HILL, TARTISHA A MRS.","DEM","H2TX05246","TX","5","HILL","DEM"
"2604","2604","WOOD, DANNY EUGENE JR","DEM","H8TX05086","TX","5","WOOD","DEM"
"2605","2605","HILL, DONALD","REP","H0TX05117","TX","5","HILL","GOP"
"2606","2606","GOODEN, LANCE","REP","H8TX05144","TX","5","GOODEN","GOP"
"2607","2607","HALE, KEVIN","LIB","H0TX05125","TX","5","HALE","LIB"
"2608","2608","DANIEL, STEPHEN","DEM","H0TX06099","TX","6","DANIEL","DEM"
"2609","2609","BEAN, LYDIA","DEM","H2TX06236","TX","6","BEAN","DEM"
"2610","2610","HINTERLONG, MATT","DEM","H2TX06244","TX","6","HINTERLONG","DEM"
"2611","2611","HOLLOWAY, TAMMY ALLISON","DEM","H2TX06277","TX","6","HOLLOWAY","DEM"
"2612","2612","EDDINGS, DARYL J. MR. SR.","DEM","H2TX06285","TX","6","EDDINGS","DEM"
"2613","2613","MOSES, PATRICK","DEM","H2TX06301","TX","6","MOSES","DEM"
"2614","2614","SANCHEZ, JANA LYNNE MS","DEM","H8TX06183","TX","6","SANCHEZ","DEM"
"2615","2615","MARKLAND, MONTGOMERY L","REP","H2TX06202","TX","6","MARKLAND","GOP"
"2616","2616","EGAN, MICHAEL C","REP","H2TX06228","TX","6","EGAN","GOP"
"2617","2617","WRIGHT, SUSAN","REP","H2TX06251","TX","6","WRIGHT","GOP"
"2618","2618","HARRISON, BRIAN E","REP","H2TX06269","TX","6","HARRISON","GOP"
"2619","2619","WOOD, MICHAEL A.","REP","H2TX06293","TX","6","WOOD","GOP"
"2620","2620","RODIMER, DAN","REP","H2TX06335","TX","6","RODIMER","GOP"
"2621","2621","KIM, SERY MS.","REP","H2TX06343","TX","6","KIM","GOP"
"2622","2622","BALLANTINE, MICHAEL","REP","H2TX06376","TX","6","BALLANTINE","GOP"
"2623","2623","BUFORD, JAMES R.","REP","H2TX06392","TX","6","BUFORD","GOP"
"2624","2624","WRIGHT, RON","REP","H8TX06233","TX","6","WRIGHT","GOP"
"2625","2625","ELLZEY, JOHN KEVIN SR.","REP","H8TX06266","TX","6","ELLZEY","GOP"
"2626","2626","SCAUFLAIRE, TAKONA EILEEN","IND","H2TX06400","TX","6","SCAUFLAIRE","IND"
"2627","2627","FLETCHER, ELIZABETH","DEM","H8TX07140","TX","7","FLETCHER","DEM"
