"","Candidate","Gender","Race.1","Race.2","Race.3","Incumbent","Incumbent.Challenger","State","Primary.Date","Office","District","Primary.Votes","Primary..","Primary.Outcome","Runoff.Votes","Runoff..","Runoff.Outcome","EMILY.s.List","Justice.Dems","Indivisible","PCCC","Our.Revolution","Sunrise","Sanders","AOC","Party.Committee","Party","Trump","Trump.Date","Club.for.Growth","Renew.America","E.PAC","VIEW.PAC","Maggie.s.List","Winning.for.Women"
"70","Carla-Joy Sisco","Female","Black","","","No","No","Texas","3/1/22","Representative","35","3,190","8%","Lost","N/A","N/A","N/A","N/A","No","No","N/A","No","No","No","No","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"71","Rebecca Viagran","Female","Latino","","","No","No","Texas","3/1/22","Representative","35","6,511","16%","Lost","N/A","N/A","N/A","N/A","No","No","N/A","No","No","No","No","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"72","Jon Haire","Male","White","","","No","No","Texas","3/1/22","Representative","36","16,589","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"73","Quinton ""Q"" Beaubouef","Male","White","","","No","Yes","Texas","3/1/22","Representative","37","804","1%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"74","Lloyd Doggett","Male","White","","","Yes","No","Texas","3/1/22","Representative","37","60,007","79%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"75","Donna Imam","Female","Asian (Bangladeshi)","","","No","Yes","Texas","3/1/22","Representative","37","13,385","18%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"76","Chris Jones","Male","White","","","No","Yes","Texas","3/1/22","Representative","37","1,503","2%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"77","Diana Martinez Alexander","Female","Latino","","","No","No","Texas","3/1/22","Representative","38","9,861","45%","Made runoff","4,111","39%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"78","Duncan F. Klussmann","Male","White","","","No","No","Texas","3/1/22","Representative","38","8,698","39%","Made runoff","6,449","61%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"79","Centrell Reed","Female","Black","","","No","No","Texas","3/1/22","Representative","38","3,550","16%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"80","Inocencio ""Inno"" Barrientez","Male","Latino","","","No","No","Texas","3/1/22","Governor","N/A","12,887","1%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"81","Michael Cooper","Male","Black","","","No","No","Texas","3/1/22","Governor","N/A","32,673","3%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"82","Joy Diaz","Female","Latino (Mexican)","","","No","No","Texas","3/1/22","Governor","N/A","33,622","3%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"83","Beto O'Rourke","Male","White","","","No","No","Texas","3/1/22","Governor","N/A","983,182","91%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"84","Rich Wakeland","Male","White","","","No","No","Texas","3/1/22","Governor","N/A","13,237","1%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"85","Thomas M. McDermott Jr.","Male","White","","","No","No","Indiana","5/3/22","Senator","N/A","173,466","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"86","Richard E. Fantin","Male","Unknown","","","No","Yes","Indiana","5/3/22","Representative","1","5,413","14%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"87","Frank J. Mrvan","Male","White","","","Yes","No","Indiana","5/3/22","Representative","1","34,489","86%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"88","Paul D. Steury","Male","White","","","No","No","Indiana","5/3/22","Representative","2","11,708","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"89","Phillip Beachy","Male","White","","","No","No","Indiana","5/3/22","Representative","3","2,400","20%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"90","Aaron ""A.J."" Calkins","Male","White","","","No","No","Indiana","5/3/22","Representative","3","2,894","24%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"91","Gary L. Snyder","Male","White","","","No","No","Indiana","5/3/22","Representative","3","6,794","56%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"92","Roger D. Day","Male","White","","","No","No","Indiana","5/3/22","Representative","4","5,680","68%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"93","Howard J. Pollchik","Male","White","","","No","No","Indiana","5/3/22","Representative","4","2,648","32%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"94","Matthew L. Hall","Male","White","","","No","No","Indiana","5/3/22","Representative","5","6,799","40%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"95","Jeannine Lee Lake","Female","Black","","","No","No","Indiana","5/3/22","Representative","5","10,192","60%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
